tag,acc,lo,hi,n
"NAIVE: pooled random 5-fold over trials, subjects mixed",0.689811320754717,0.6751698965360431,0.70417323891914,3975
"NAIVE: same, but with no per-subject alignment",0.6213836477987421,0.6060945310703751,0.6364941155205592,3975
