family,tag,secs,name,pooled_acc,pooled_lo,pooled_hi,mean_sub_acc,sd_sub_acc,median,q25,q75,min,max,n_subjects,n_trials,frac_sig
alignment,"CovCSP6, alpha=0.0",13.3728768825531,"CovCSP6, alpha=0.0",0.6384408602150538,0.6134389364854556,0.662894989787004,0.6378513420872226,0.1638932790980133,0.5714285714285714,0.5119047619047619,0.7380952380952381,0.4523809523809524,0.9761904761904762,35,1488,0.3714285714285714
alignment,"tangent-space, alpha=0.0",63.734413146972656,"tangent-space, alpha=0.0",0.6135752688172043,0.5882940206713064,0.6384072185202312,0.6131709117755629,0.1290093986344643,0.5777777777777777,0.5113695090439276,0.6904761904761905,0.4285714285714285,0.9285714285714286,35,1488,0.4
alignment,"CovCSP6, alpha=0.25",6.618013858795166,"CovCSP6, alpha=0.25",0.6491935483870968,0.6243341247862422,0.6734625602250252,0.6487517797816801,0.1708631958250266,0.5952380952380952,0.5119047619047619,0.7380952380952381,0.4285714285714285,1.0,35,1488,0.4
alignment,"tangent-space, alpha=0.25",87.16789603233337,"tangent-space, alpha=0.25",0.6538978494623656,0.6291049923404712,0.6780816442169124,0.6527993988292992,0.1356827768996686,0.6222222222222222,0.5476190476190477,0.7142857142857143,0.475,0.9302325581395348,35,1488,0.4857142857142857
alignment,"CovCSP6, alpha=0.5",10.192853927612305,"CovCSP6, alpha=0.5",0.6505376344086021,0.6256969654687887,0.6747825631905211,0.6502212202710541,0.1695593258428018,0.5952380952380952,0.5238095238095238,0.7619047619047619,0.4285714285714285,0.9767441860465116,35,1488,0.4285714285714285
alignment,"tangent-space, alpha=0.5",79.22673106193542,"tangent-space, alpha=0.5",0.657258064516129,0.6325143480546542,0.6813793946078945,0.6563209935136847,0.1446342486632723,0.6190476190476191,0.5595238095238095,0.7023809523809523,0.4523809523809524,0.9523809523809524,35,1488,0.4285714285714285
alignment,"CovCSP6, alpha=0.75",10.163100957870483,"CovCSP6, alpha=0.75",0.6619623655913979,0.6372896961423191,0.685993991940135,0.6615182196909771,0.1646525731055499,0.6190476190476191,0.5527777777777778,0.75,0.3571428571428571,0.9767441860465116,35,1488,0.4
alignment,"tangent-space, alpha=0.75",69.40394759178162,"tangent-space, alpha=0.75",0.6633064516129032,0.6386545666827697,0.6873119622571959,0.6622596635553447,0.1485590075945625,0.6428571428571429,0.5634920634920635,0.7015873015873015,0.4285714285714285,0.9761904761904762,35,1488,0.5142857142857142
alignment,"CovCSP6, alpha=1.0",6.057737112045288,"CovCSP6, alpha=1.0",0.6760752688172043,0.6516317462471224,0.699821754549036,0.6755297157622739,0.1516557152662654,0.6444444444444445,0.5714285714285714,0.7619047619047619,0.4047619047619047,0.9777777777777776,35,1488,0.5142857142857142
alignment,"tangent-space, alpha=1.0",57.46176791191101,"tangent-space, alpha=1.0",0.6391129032258065,0.6141194959991643,0.6635558531733651,0.6387061646363972,0.147173402136421,0.6190476190476191,0.5238095238095238,0.6666666666666666,0.4047619047619047,0.9523809523809524,35,1488,0.4
CSP,"k=2, shrinkage LDA",3.7414803504943848,"k=2, shrinkage LDA",0.6780913978494624,0.653682601593047,0.7017951550782123,0.67718952697358,0.1564661760402027,0.627906976744186,0.5714285714285714,0.7738095238095237,0.4761904761904761,1.0,35,1488,0.4857142857142857
CSP,"k=4, shrinkage LDA",5.4507951736450195,"k=4, shrinkage LDA",0.6834677419354839,0.6591540245551921,0.7070550770780666,0.682919896640827,0.1513245231086419,0.6666666666666666,0.5634920634920635,0.7468253968253968,0.4523809523809524,1.0,35,1488,0.5714285714285714
CSP,"k=6, shrinkage LDA",7.641418933868408,"k=6, shrinkage LDA",0.6760752688172043,0.6516317462471224,0.699821754549036,0.6755297157622739,0.1516557152662654,0.6444444444444445,0.5714285714285714,0.7619047619047619,0.4047619047619047,0.9777777777777776,35,1488,0.5142857142857142
CSP,"k=8, shrinkage LDA",9.441137790679932,"k=8, shrinkage LDA",0.6807795698924731,0.6564178612640398,0.7044255686336218,0.6804390128144282,0.1464923443205709,0.6444444444444445,0.5952380952380952,0.7619047619047619,0.4285714285714285,0.9555555555555556,35,1488,0.6
