epoch,loss,val_acc,train_acc
5,0.7097280571572078,0.533923327922821,0.5166666507720947
10,0.6963936111824831,0.5044247508049011,0.5133333206176758
15,0.6952503669437352,0.5103244781494141,0.5106666684150696
20,0.6942580011282986,0.4837758243083954,0.5426666736602783
25,0.6965378363850936,0.4808259606361389,0.5379999876022339
30,0.6953695043873802,0.5044247508049011,0.5173333287239075
35,0.6935672074727958,0.46607670187950134,0.5286666750907898
40,0.6932185726598983,0.4365781843662262,0.5733333230018616
45,0.6933819132589485,0.4601770043373108,0.5820000171661377
50,0.6926746712765172,0.47492626309394836,0.5806666612625122
55,0.693909672118118,0.4837758243083954,0.5926666855812073
60,0.6932827195370723,0.47787609696388245,0.5733333230018616
65,0.6925021310075307,0.48672565817832947,0.5846666693687439
70,0.6929419179109145,0.4837758243083954,0.5853333473205566
5,0.7016921717411969,0.5634218454360962,0.5120000243186951
10,0.6959900071354163,0.533923327922821,0.5133333206176758
15,0.6965696733515397,0.5044247508049011,0.5253333449363708
20,0.6946045485548806,0.50737464427948,0.5306666493415833
25,0.6932542828574858,0.50737464427948,0.5239999890327454
30,0.6953758000563107,0.4955752193927765,0.5333333611488342
35,0.6946825315914845,0.501474916934967,0.5059999823570251
40,0.6925699134482983,0.5103244781494141,0.5113333463668823
45,0.6937951408696885,0.49852508306503296,0.5519999861717224
50,0.6931304321261544,0.5044247508049011,0.5686666369438171
55,0.6923682988358828,0.50737464427948,0.5860000252723694
60,0.692765730128299,0.5132743120193481,0.5720000267028809
65,0.6938778597141314,0.516224205493927,0.5513333082199097
70,0.6944464436705657,0.50737464427948,0.5473333597183228
5,0.7029587738395311,0.5072463750839233,0.5053333044052124
10,0.6967585246406053,0.5478261113166809,0.5226666927337646
15,0.695236999915844,0.48115941882133484,0.531333327293396
20,0.6951330301084259,0.4579710066318512,0.5326666831970215
25,0.6935151075857601,0.5014492869377136,0.5019999742507935
30,0.6934169816167167,0.4724637567996979,0.5440000295639038
35,0.6944753961616688,0.5188405513763428,0.5220000147819519
40,0.693941285675257,0.530434787273407,0.5606666803359985
45,0.6944357345421854,0.5130434632301331,0.5139999985694885
50,0.6937474198938373,0.5130434632301331,0.5486666560173035
55,0.6925430639597616,0.5014492869377136,0.5366666913032532
60,0.6933937413734571,0.5014492869377136,0.5379999876022339
65,0.6931940464491255,0.5159420371055603,0.5393333435058594
70,0.6943837327712229,0.5159420371055603,0.5400000214576721
5,0.7070697936024899,0.48830410838127136,0.492000013589859
10,0.6961020434260556,0.5,0.4933333396911621
15,0.6962601868462224,0.49707603454589844,0.5199999809265137
20,0.6964313087681835,0.511695921421051,0.5306666493415833
25,0.6939313710206682,0.5233917832374573,0.5386666655540466
30,0.6923940237664499,0.511695921421051,0.5173333287239075
35,0.6943209703687996,0.5701754093170166,0.5666666626930237
40,0.6932057063726452,0.5204678177833557,0.5659999847412109
45,0.6951620858050824,0.5233917832374573,0.5653333067893982
50,0.6940841053334458,0.5,0.5433333516120911
55,0.6943256258776215,0.5058479309082031,0.5733333230018616
60,0.6937022422538927,0.5058479309082031,0.562666654586792
65,0.692640177182865,0.5204678177833557,0.5666666626930237
70,0.6937229081917713,0.5233917832374573,0.5699999928474426
5,0.7093592066583467,0.524781346321106,0.4793333411216736
10,0.6976794344687424,0.5102040767669678,0.5353333353996277
15,0.6947069610922159,0.48688048124313354,0.4959999918937683
20,0.6940903509853381,0.5014577507972717,0.5139999985694885
25,0.6941001856005891,0.5160349607467651,0.5506666898727417
30,0.6935226140611712,0.5189504623413086,0.5360000133514404
35,0.6946275457338372,0.5072886347770691,0.5646666884422302
40,0.6940897183070659,0.5189504623413086,0.5713333487510681
45,0.6940107409247506,0.5422740578651428,0.5426666736602783
50,0.6925309420765485,0.524781346321106,0.6000000238418579
55,0.6931427273055075,0.5043731927871704,0.593999981880188
60,0.6926850563561671,0.5218659043312073,0.609333336353302
65,0.693179365987823,0.48688048124313354,0.5839999914169312
70,0.6925608978407508,0.4927113652229309,0.578000009059906
