subject,n,acc,ci_lo,ci_hi,sig_thresh
1,45,0.5555555555555556,0.3999734964036788,0.7035560761341417,0.6222222222222222
2,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191
4,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191
5,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191
6,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191
7,45,0.5777777777777777,0.42150328448812835,0.7234329717538803,0.6222222222222222
8,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191
9,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191
10,42,0.6428571428571429,0.4802605583854622,0.7844922585742125,0.6190476190476191
13,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191
14,42,0.5238095238095238,0.3641779709213327,0.6799594911397739,0.6190476190476191
19,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191
20,42,0.40476190476190477,0.25629092548365795,0.5671791092799632,0.6190476190476191
22,45,0.5111111111111111,0.35774038567003036,0.6629662516072066,0.6222222222222222
25,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191
26,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191
27,42,0.4523809523809524,0.2984588131963176,0.6132682127621256,0.6190476190476191
30,45,0.6222222222222222,0.4654101126463728,0.7623217552722018,0.6222222222222222
31,42,0.4523809523809524,0.2984588131963176,0.6132682127621256,0.6190476190476191
32,45,0.37777777777777777,0.23767824472779814,0.5345898873536272,0.6222222222222222
33,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191
35,45,0.4888888888888889,0.3370337483927935,0.6422596143299697,0.6222222222222222
36,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191
37,43,0.4883720930232558,0.3330513538648937,0.6453532269489863,0.627906976744186
39,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191
41,44,0.6136363636363636,0.4549553046634418,0.756428357559279,0.6136363636363636
43,42,0.4523809523809524,0.2984588131963176,0.6132682127621256,0.6190476190476191
46,45,0.5111111111111111,0.35774038567003036,0.6629662516072066,0.6222222222222222
49,42,0.3333333333333333,0.1956680480365183,0.49548746426323076,0.6190476190476191
50,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191
51,45,0.6,0.4433135124790022,0.7430241048073687,0.6222222222222222
52,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191
54,42,0.6428571428571429,0.4802605583854622,0.7844922585742125,0.6190476190476191
57,45,0.6,0.4433135124790022,0.7430241048073687,0.6222222222222222
59,42,0.6190476190476191,0.4563674954978985,0.7642794531367836,0.6190476190476191
60,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191
61,45,0.5777777777777777,0.42150328448812835,0.7234329717538803,0.6222222222222222
63,42,0.4523809523809524,0.2984588131963176,0.6132682127621256,0.6190476190476191
66,45,0.4444444444444444,0.2964439238658582,0.6000265035963211,0.6222222222222222
68,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191
69,42,0.38095238095238093,0.23572054686321633,0.5436325045021015,0.6190476190476191
70,42,0.6190476190476191,0.4563674954978985,0.7642794531367836,0.6190476190476191
73,42,0.35714285714285715,0.21550774142578752,0.5197394416145378,0.6190476190476191
76,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191
78,42,0.5714285714285714,0.40961127076287,0.7227932522003722,0.6190476190476191
80,42,0.5952380952380952,0.43282089072003677,0.7437090745163419,0.6190476190476191
81,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191
83,45,0.5111111111111111,0.35774038567003036,0.6629662516072066,0.6222222222222222
86,45,0.5111111111111111,0.35774038567003036,0.6629662516072066,0.6222222222222222
87,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191
90,42,0.4523809523809524,0.2984588131963176,0.6132682127621256,0.6190476190476191
94,42,0.5476190476190477,0.38673178723787444,0.7015411868036825,0.6190476190476191
96,45,0.4222222222222222,0.27656702824611973,0.5784967155118717,0.6222222222222222
102,42,0.42857142857142855,0.2772067477996278,0.5903887292371299,0.6190476190476191
103,45,0.4444444444444444,0.2964439238658582,0.6000265035963211,0.6222222222222222
105,42,0.47619047619047616,0.32004050886022595,0.6358220290786671,0.6190476190476191
106,45,0.5555555555555556,0.3999734964036788,0.7035560761341417,0.6222222222222222
109,42,0.5,0.3419475770509645,0.6580524229490354,0.6190476190476191
