subject,"A within-subj, random CV","B within-subj, leave-run-out","C cross-subj, LOSO + align",D LOSO + 16 calib trials,acc_loso,acc_within_run,acc_within_random,acc_loso_calib
1,0.7555555555555555,0.6,0.7555555555555555,0.6206896551724138,0.7555555555555555,0.6,0.7555555555555555,0.6206896551724138
2,0.9285714285714286,0.9047619047619048,0.8571428571428571,0.7692307692307693,0.8571428571428571,0.9047619047619048,0.9285714285714286,0.7692307692307693
4,0.5238095238095238,0.6190476190476191,0.7142857142857143,0.6923076923076923,0.7142857142857143,0.6190476190476191,0.5238095238095238,0.6923076923076923
5,0.42857142857142855,0.5952380952380952,0.3333333333333333,0.38461538461538464,0.3333333333333333,0.5952380952380952,0.42857142857142855,0.38461538461538464
6,0.5952380952380952,0.5952380952380952,0.5714285714285714,0.6153846153846154,0.5714285714285714,0.5952380952380952,0.5952380952380952,0.6153846153846154
7,1.0,0.9777777777777777,1.0,1.0,1.0,0.9777777777777777,1.0,1.0
8,0.5476190476190477,0.47619047619047616,0.5952380952380952,0.6153846153846154,0.5952380952380952,0.47619047619047616,0.5476190476190477,0.6153846153846154
9,0.4523809523809524,0.5238095238095238,0.5,0.5,0.5,0.5238095238095238,0.4523809523809524,0.5
10,0.5714285714285714,0.5952380952380952,0.6428571428571429,0.6538461538461539,0.6428571428571429,0.5952380952380952,0.5714285714285714,0.6538461538461539
13,0.6190476190476191,0.6904761904761905,0.8333333333333334,0.7692307692307693,0.8333333333333334,0.6904761904761905,0.6190476190476191,0.7692307692307693
14,0.6666666666666666,0.5238095238095238,0.6428571428571429,0.8076923076923077,0.6428571428571429,0.5238095238095238,0.6666666666666666,0.8076923076923077
19,0.42857142857142855,0.5238095238095238,0.7619047619047619,0.8076923076923077,0.7619047619047619,0.5238095238095238,0.42857142857142855,0.8076923076923077
20,0.5,0.5238095238095238,0.6904761904761905,0.6153846153846154,0.6904761904761905,0.5238095238095238,0.5,0.6153846153846154
22,0.7111111111111111,0.6888888888888889,0.6444444444444445,0.6896551724137931,0.6444444444444445,0.6888888888888889,0.7111111111111111,0.6896551724137931
25,0.5714285714285714,0.5714285714285714,0.8095238095238095,0.8846153846153846,0.8095238095238095,0.5714285714285714,0.5714285714285714,0.8846153846153846
26,0.7380952380952381,0.7619047619047619,0.6666666666666666,0.6923076923076923,0.6666666666666666,0.7619047619047619,0.7380952380952381,0.6923076923076923
27,0.5714285714285714,0.6190476190476191,0.5952380952380952,0.5,0.5952380952380952,0.6190476190476191,0.5714285714285714,0.5
30,0.4666666666666667,0.4666666666666667,0.7555555555555555,0.6896551724137931,0.7555555555555555,0.4666666666666667,0.4666666666666667,0.6896551724137931
31,0.9047619047619048,0.9761904761904762,0.8809523809523809,0.8846153846153846,0.8809523809523809,0.9761904761904762,0.9047619047619048,0.8846153846153846
32,0.5777777777777777,0.6888888888888889,0.9333333333333333,0.9655172413793104,0.9333333333333333,0.6888888888888889,0.5777777777777777,0.9655172413793104
