subject,n,frac_pred_right,frac_true_right,mean_score,sd_score,acc_raw,acc_centred,auc
1,45,0.5555555555555556,0.4888888888888889,0.0785182615993341,1.1822046514114124,0.7555555555555555,0.7333333333333333,0.8873517786561265
2,42,0.5,0.5,0.1858888641606047,1.807666744948919,0.8571428571428571,0.8571428571428571,0.9115646258503401
4,42,0.4523809523809524,0.5,-0.0448101052375363,0.8865475205097796,0.7142857142857143,0.6666666666666666,0.8117913832199547
5,42,0.4523809523809524,0.5,-0.0172556057167772,0.5262294822622544,0.3333333333333333,0.3809523809523809,0.3242630385487528
6,42,0.5476190476190477,0.5,-0.0434990676991789,0.6469633394690838,0.5714285714285714,0.5714285714285714,0.5714285714285714
7,45,0.4888888888888889,0.4888888888888889,0.0525723867392792,1.940143832653043,1.0,1.0,1.0
8,42,0.4761904761904761,0.5,-0.0826399282049916,0.7795971385071774,0.5952380952380952,0.5714285714285714,0.6507936507936508
9,42,0.4285714285714285,0.5,-0.0545309499924831,0.6161144357585706,0.5,0.4761904761904761,0.49206349206349204
10,42,0.4285714285714285,0.5,-0.0093456341031363,1.0497702920205108,0.6428571428571429,0.7142857142857143,0.7437641723356009
13,42,0.4761904761904761,0.5,-0.038265011514369,1.0238286675232773,0.8333333333333334,0.8571428571428571,0.9138321995464853
14,42,0.5238095238095238,0.5,-0.0409246801601131,0.8378550725987701,0.6428571428571429,0.6666666666666666,0.7437641723356009
19,42,0.5476190476190477,0.5,-0.0330215705922826,0.9254596703584382,0.7619047619047619,0.7142857142857143,0.8639455782312925
20,42,0.5238095238095238,0.5,-0.069167534399524,0.6218465573493832,0.6904761904761905,0.6666666666666666,0.7052154195011338
22,45,0.3777777777777777,0.5111111111111111,-0.0526299048620856,0.6018720070191536,0.6444444444444445,0.6222222222222222,0.7094861660079052
25,42,0.3571428571428571,0.5,-0.0733408566836173,0.5777637204638195,0.8095238095238095,0.7619047619047619,0.8707482993197279
26,42,0.4523809523809524,0.5,-0.2032652595270487,1.467690198086552,0.6666666666666666,0.7142857142857143,0.8095238095238095
27,42,0.5238095238095238,0.5,-0.0258878069980387,1.1076011325475197,0.5952380952380952,0.5714285714285714,0.6190476190476191
30,45,0.4888888888888889,0.4666666666666667,-0.0769668524261952,0.990562680892498,0.7555555555555555,0.7555555555555555,0.7757936507936508
31,42,0.4761904761904761,0.5,0.0898696056709795,1.5064021137462682,0.8809523809523809,0.8571428571428571,0.9614512471655329
32,45,0.5111111111111111,0.5333333333333333,-0.070809615393839,1.160885165602224,0.9333333333333332,0.9111111111111112,0.9563492063492064
33,42,0.4047619047619047,0.5,-0.0868874240478913,1.9890113247331656,0.7619047619047619,0.7142857142857143,0.8684807256235828
35,45,0.3333333333333333,0.5111111111111111,-0.140991312289305,1.4107847624345191,0.7333333333333333,0.6666666666666666,0.8102766798418972
36,42,0.4523809523809524,0.5,-0.0240083088050661,0.5958062808216439,0.5238095238095238,0.5714285714285714,0.5034013605442177
37,43,0.5348837209302325,0.4883720930232558,0.0010485439474466,0.5249023603368428,0.5813953488372093,0.5348837209302325,0.551948051948052
39,42,0.5,0.5,-0.0343126581503756,0.5320599121392269,0.6666666666666666,0.6666666666666666,0.6213151927437641
41,44,0.5454545454545454,0.4772727272727273,0.0119520908136209,0.8588283115711706,0.7954545454545454,0.7954545454545454,0.8716356107660456
43,42,0.5476190476190477,0.5,0.0605687044134749,1.2924937180215146,0.8571428571428571,0.8571428571428571,0.9410430839002267
46,45,0.4222222222222222,0.4888888888888889,-0.0386726594882332,0.7022949937107398,0.6666666666666666,0.6888888888888889,0.7865612648221344
49,42,0.4761904761904761,0.5,0.0651722263614896,1.1115026741691727,0.8809523809523809,0.9047619047619048,0.9795918367346939
50,42,0.4761904761904761,0.5,-0.0361720937495491,0.4440832105336497,0.6428571428571429,0.6190476190476191,0.7188208616780045
51,45,0.4666666666666667,0.4666666666666667,-0.0449803811032949,0.7946766625631362,0.6444444444444445,0.6222222222222222,0.6031746031746031
52,42,0.6190476190476191,0.5,0.1977882148785089,1.5213035493186915,0.8333333333333334,0.8571428571428571,0.9501133786848073
54,42,0.4285714285714285,0.5,-0.12144389142604,1.4296387662437953,0.8333333333333334,0.8095238095238095,0.8798185941043084
57,45,0.5555555555555556,0.4666666666666667,0.0487097646943047,1.0133178996137628,0.6,0.6222222222222222,0.6944444444444444
59,42,0.6190476190476191,0.5,0.0362813532709252,0.95303992300337,0.5,0.5238095238095238,0.48299319727891155
60,42,0.4285714285714285,0.5,-0.0993347390109391,1.621749685840148,0.8809523809523809,0.9047619047619048,0.9365079365079365
61,45,0.4666666666666667,0.5111111111111111,0.0219015543660698,1.23469490011922,0.8222222222222222,0.8444444444444444,0.9288537549407114
63,42,0.8333333333333334,0.5,0.3746294983825604,1.3632305356039656,0.4285714285714285,0.5714285714285714,0.5736961451247166
66,45,0.4444444444444444,0.5111111111111111,-0.0182236296315123,0.8236375908268041,0.3555555555555555,0.3555555555555555,0.42292490118577075
68,42,0.4761904761904761,0.5,-0.0495385687926628,0.6711495175059687,0.6904761904761905,0.7142857142857143,0.8027210884353742
69,42,0.4047619047619047,0.5,-0.1011008728522503,0.6183961734001124,0.5238095238095238,0.6190476190476191,0.63718820861678
70,42,0.5476190476190477,0.5,0.0352298868405151,1.0311074511379072,0.9047619047619048,0.8571428571428571,0.9455782312925171
73,42,0.4285714285714285,0.5,-0.0528372261019703,0.7990880450113802,0.7380952380952381,0.8095238095238095,0.8208616780045351
76,42,0.4761904761904761,0.5,-0.0663777834271496,0.6428399646641143,0.6428571428571429,0.6190476190476191,0.6666666666666666
78,42,0.5714285714285714,0.5,0.0647622941998678,1.4848445038869384,0.5952380952380952,0.5714285714285714,0.5850340136054422
80,42,0.4523809523809524,0.5,-0.0346521509193801,0.4589316891438443,0.7619047619047619,0.7142857142857143,0.8208616780045351
81,42,0.5238095238095238,0.5,0.0219654599995032,0.6744334408443877,0.6904761904761905,0.7142857142857143,0.7709750566893424
83,45,0.4888888888888889,0.5111111111111111,-0.0937497713716413,1.0366661954332284,0.7555555555555555,0.7555555555555555,0.8636363636363636
86,45,0.5111111111111111,0.5111111111111111,0.0794840418470685,0.9161100335678356,0.8222222222222222,0.8444444444444444,0.9367588932806324
87,42,0.5714285714285714,0.5,0.0689319959747844,0.7942851263696475,0.5,0.4761904761904761,0.49206349206349204
90,42,0.3333333333333333,0.5,-0.1458058198051081,0.5723854479176098,0.5476190476190477,0.5714285714285714,0.5532879818594104
94,42,0.5,0.5,-0.0040309783749791,1.4898782360512726,0.9523809523809524,0.9523809523809524,0.9909297052154195
96,45,0.4222222222222222,0.4888888888888889,-0.132501325593322,0.7774517090142096,0.5777777777777777,0.5555555555555556,0.5553359683794467
102,42,0.4523809523809524,0.5,-0.1227680394735006,0.9065947493490526,0.8095238095238095,0.8095238095238095,0.9070294784580499
103,45,0.3333333333333333,0.5111111111111111,-0.0407644216994168,1.3777240870863807,0.6444444444444445,0.6222222222222222,0.733201581027668
105,42,0.4761904761904761,0.5,-0.0595069612989222,0.8234549987402542,0.5952380952380952,0.6190476190476191,0.6394557823129252
106,45,0.4,0.4666666666666667,-0.0871906630834886,0.7694917328050258,0.6666666666666666,0.6222222222222222,0.6884920634920635
109,42,0.4761904761904761,0.5,-0.0330119893089934,0.4351458581574642,0.5476190476190477,0.5714285714285714,0.5374149659863946
