tag,acc,lo,hi,n
task window -> CURRENT label,0.6928025733815842,0.6742511463600354,0.7108989431350778,2487
task window -> PREVIOUS label (looks like carry-over),0.6100302637267618,0.5898078807408045,0.6299735034176908,2313
PRE-CUE rest -> CURRENT label,0.5560916767189384,0.5363074204374195,0.5757436795900664,2487
PRE-CUE rest -> PREVIOUS label,0.6372676178123649,0.6172937577411973,0.656893163534692,2313
"PRE-CUE -> current, trials where label REPEATED",0.4029574861367837,0.3613300064252237,0.44565086734111103,541
"PRE-CUE -> current, trials where label ALTERNATED",0.6066591422121896,0.5834713212929558,0.6294931289887329,1772
