tag,train_acc,secs,n_train_subjects,name,pooled_acc,pooled_lo,pooled_hi,mean_sub_acc,sd_sub_acc,median,q25,q75,min,max,n_subjects,n_trials,frac_sig
EEGNet cross-subject (all train subj),0.5848333333333332,951.471864938736,93,,0.5054282267792521,0.4855809353333641,0.5252627205740203,0.5050702060124675,0.075044212723351,0.5,0.4523809523809524,0.5674603174603174,0.3333333333333333,0.6428571428571429,58,2487,0.0344827586206896
"EEGNet cross-subject, SHUFFLED labels",0.5663333333333334,842.7745878696442,93,,0.4961801367108966,0.476343162946161,0.5160261162265691,0.4960220257333328,0.0718593682415392,0.4888888888888889,0.4464285714285714,0.5535714285714286,0.3571428571428571,0.6444444444444445,58,2487,0.0517241379310344
"EEGNet, 8 training subjects",0.7905138339920948,20.735273122787476,6,,0.4760233918128655,0.4420946272061388,0.5101179315375317,0.47619047619047616,0.0776147849710993,0.47619047619047616,0.42698412698412697,0.5238095238095238,0.35714285714285715,0.6666666666666666,20,855,0.05
"EEGNet, 24 training subjects",0.662004662004662,63.115617990493774,20,,0.49707602339181284,0.4630366076869746,0.5311356550664503,0.4970634920634921,0.0691376322982766,0.5055555555555555,0.4444444444444444,0.5369047619047619,0.3333333333333333,0.6190476190476191,20,855,0.0
"EEGNet, 64 training subjects",0.573,219.28053498268127,54,,0.5052631578947369,0.47119671979616357,0.5392932072167858,0.5041269841269841,0.08811333704362055,0.5055555555555555,0.42857142857142855,0.5535714285714286,0.3333333333333333,0.6888888888888889,20,855,0.05
"EEGNet within-subject (random CV, 12 subj)",1.0,141.52905011177063,1,,0.5215686274509804,0.4772168012740003,0.5656691077381617,0.5222222222222223,0.11737838880577012,0.5238095238095238,0.4464285714285714,0.5773809523809523,0.35714285714285715,0.7380952380952381,12,510,0.16666666666666666
