tag,within_run,secs,name,pooled_acc,pooled_lo,pooled_hi,mean_sub_acc,sd_sub_acc,median,q25,q75,min,max,n_subjects,n_trials,frac_sig
logvar_lr,0.6008064516129032,6.326837062835693,logvar_lr,0.5759408602150538,0.5503653571876231,0.6012160217383187,0.5752188472288141,0.12436954752407677,0.5476190476190477,0.4880952380952381,0.6190476190476191,0.375,0.9069767441860465,35,1488,0.2
fbcsp_lite,0.5685483870967742,7.8268327713012695,fbcsp_lite,0.6102150537634409,0.5849013223814463,0.6350927915705511,0.6105542371987553,0.10112289047597094,0.6190476190476191,0.5238095238095238,0.6785714285714286,0.42857142857142855,0.8604651162790697,35,1488,0.45714285714285713
ts_riemann,0.6256720430107527,352.801007270813,ts_riemann,0.5672043010752689,0.5415819826965275,0.5925608421522839,0.56609370880135,0.11777759212054952,0.5476190476190477,0.5,0.6190476190476191,0.3333333333333333,0.8222222222222222,35,1488,0.2
ts_logeuclid,0.5833333333333334,106.79211401939392,ts_logeuclid,0.6276881720430108,0.6025569614467914,0.6523141903527225,0.6270964509834943,0.15260272431946778,0.5714285714285714,0.5,0.7341269841269842,0.40476190476190477,0.9285714285714286,35,1488,0.37142857142857144
csp_lda_6,0.6263440860215054,137.3621120452881,csp_lda_6,0.616263440860215,0.5910090714804989,0.6410578670562275,0.6155088857248326,0.1556499940217499,0.5476190476190477,0.5,0.7126984126984127,0.4523809523809524,0.9534883720930233,35,1488,0.34285714285714286
csp_lda_12,0.5967741935483871,211.52580308914185,csp_lda_12,0.6135752688172043,0.5882940206713064,0.6384072185202312,0.6128988029320256,0.15652973043331678,0.5714285714285714,0.5,0.6436507936507937,0.4186046511627907,0.9534883720930233,35,1488,0.3142857142857143
ts_logeuclid+EA,0.6155913978494624,166.70135498046875,ts_logeuclid+EA,0.5954301075268817,0.5699880320338282,0.6204947179546938,0.5949216896060749,0.12212214034006517,0.5714285714285714,0.5174603174603174,0.6666666666666666,0.3333333333333333,0.9069767441860465,35,1488,0.4
ts_riemann+EA,0.6310483870967742,310.45459508895874,ts_riemann+EA,0.5967741935483871,0.5713428108620837,0.6218227912094276,0.5962822338237619,0.12449540764591688,0.5952380952380952,0.5111111111111111,0.6666666666666666,0.3333333333333333,0.9069767441860465,35,1488,0.4
csp_lda_6+EA,0.6478494623655914,153.94484210014343,csp_lda_6+EA,0.6827956989247311,0.6584698986859905,0.7063977851552605,0.6824618994884775,0.14723666209078864,0.6444444444444445,0.5714285714285714,0.741140642303433,0.47619047619047616,0.9761904761904762,35,1488,0.5714285714285714
logvar_lr+EA,0.625,7.73602294921875,logvar_lr+EA,0.6491935483870968,0.6243341247862422,0.6734625602250252,0.6488514475557665,0.13519821709052696,0.6428571428571429,0.5634920634920635,0.7380952380952381,0.42857142857142855,0.9777777777777777,35,1488,0.5142857142857142
ts_le+EA C=0.003,,66.74077010154724,ts_le+EA C=0.003,0.6397849462365591,0.6148001071804743,0.6642166648302866,0.6393843273743606,0.1352240079374784,0.6,0.5568475452196382,0.6904761904761905,0.40476190476190477,0.9302325581395349,35,1488,0.42857142857142855
ts_le+EA C=0.01,,83.12486696243286,ts_le+EA C=0.01,0.6263440860215054,0.6011976313222789,0.6509906726458813,0.626157517270474,0.1274809457728863,0.6,0.5476190476190477,0.6666666666666666,0.38095238095238093,0.9069767441860465,35,1488,0.34285714285714286
