component,lda_weight,left_minus_right_energy,frac_energy_sensorimotor
1,1.5579474412167542,-0.0236392466939595,0.4080375916885708
2,0.9916809759150738,-0.01739322448145689,0.32665242941753614
3,-2.0100393273840496,0.015038064076912711,0.30485093620211845
4,-2.4388737421263045,0.024371832445473977,0.4417807140770996
