paradigm,regime,shuffled,secs,name,pooled_acc,pooled_lo,pooled_hi,mean_sub_acc,sd_sub_acc,median,q25,q75,min,max,n_subjects,n_trials,frac_sig
imagined,"A within-subj, random CV",False,13.786126136779785,,0.6039404905508645,0.5844047328690369,0.6232311246757515,0.6037155551389713,0.15552944921158104,0.5865079365079364,0.475,0.705952380952381,0.3333333333333333,1.0,58,2487,0.3620689655172414
imagined,"B within-subj, leave-run-out",False,1.7033860683441162,,0.6168073984720547,0.5973708046079862,0.6359685023474866,0.6167394531869271,0.13580385354172814,0.5952380952380952,0.5142857142857142,0.6904761904761905,0.38095238095238093,0.9777777777777777,58,2487,0.3448275862068966
imagined,"C cross-subj, LOSO + align",False,20.559573888778687,,0.6928025733815842,0.6742511463600354,0.7108989431350778,0.6924032685660593,0.14605536845106992,0.6785714285714286,0.5952380952380952,0.8095238095238095,0.3333333333333333,1.0,58,2487,0.6896551724137931
imagined,D LOSO + 16 calib trials,False,22.707459926605225,,0.6985246953175113,0.6750660526429844,0.7212332390377816,0.6980072103437145,0.15741926484696447,0.6909814323607427,0.5865384615384615,0.8076923076923077,0.3448275862068966,1.0,58,1559,0.5689655172413793
imagined,"A within-subj, random CV",True,2.6280550956726074,,0.49658222758343384,0.4767446655687734,0.5164278473746269,0.4975193277719341,0.10039021043601593,0.4888888888888889,0.42857142857142855,0.5714285714285714,0.28888888888888886,0.7142857142857143,58,2487,0.10344827586206896
imagined,"B within-subj, leave-run-out",True,1.5311837196350098,,0.49135504624045034,0.47152612191307386,0.5112043520366145,0.49156280990683554,0.06411186878866475,0.5,0.45556478405315615,0.5440476190476191,0.3333333333333333,0.6,58,2487,0.0
imagined,"C cross-subj, LOSO + align",True,18.315250158309937,,0.4869320466425412,0.46711210771485207,0.5067827948456161,0.4870637871439796,0.07226661942419244,0.4941860465116279,0.4464285714285714,0.5333333333333333,0.2619047619047619,0.7142857142857143,58,2487,0.017241379310344827
imagined,D LOSO + 16 calib trials,True,19.35246515274048,,0.47530468248877483,0.4502610321079575,0.5004415042845137,0.475693763892337,0.10096416194893554,0.5,0.41379310344827586,0.5384615384615384,0.2692307692307692,0.6206896551724138,58,1559,0.0
executed,"A within-subj, random CV",False,2.53786301612854,,0.6606207174526401,0.6416062630581413,0.679255288078338,0.6593322386425835,0.17028217704461737,0.6190476190476191,0.5166666666666666,0.7777777777777778,0.38095238095238093,1.0,58,2481,0.46551724137931033
executed,"B within-subj, leave-run-out",False,1.5267131328582764,,0.6723095525997581,0.6534434891600154,0.6907680369587825,0.6714012041598248,0.1427031229440383,0.6666666666666666,0.5496031746031746,0.7797619047619048,0.42857142857142855,0.9761904761904762,58,2481,0.5862068965517241
executed,"C cross-subj, LOSO + align",False,18.848843097686768,,0.7327690447400241,0.7148869302823995,0.7501000991975209,0.7322933771209632,0.141770536186135,0.7142857142857143,0.6198412698412699,0.8511904761904762,0.42857142857142855,0.9777777777777777,58,2481,0.7241379310344828
executed,D LOSO + 16 calib trials,False,19.35041904449463,,0.7675466838377334,0.7457220695537449,0.788354888439344,0.7671270465562976,0.15472541448283547,0.7692307692307693,0.6551724137931034,0.9164456233421752,0.38461538461538464,1.0,58,1553,0.7241379310344828
executed,"A within-subj, random CV",True,1.6176340579986572,,0.5098750503829101,0.49000096785125336,0.5297257946935097,0.5107006020799124,0.108249974955492,0.5055555555555555,0.42857142857142855,0.5892857142857143,0.2857142857142857,0.7380952380952381,58,2481,0.13793103448275862
executed,"B within-subj, leave-run-out",True,1.3192930221557617,,0.5034260378879484,0.4835562037300712,0.5232877751304027,0.5033935413245758,0.08364269969400187,0.5,0.4523809523809524,0.5476190476190477,0.30952380952380953,0.7142857142857143,58,2481,0.05172413793103448
executed,"C cross-subj, LOSO + align",True,19.3022620677948,,0.48649738008867394,0.46665425695237106,0.5063724147418789,0.48612479474548437,0.07618441934109284,0.49444444444444446,0.4523809523809524,0.5440476190476191,0.2857142857142857,0.6666666666666666,58,2481,0.017241379310344827
executed,D LOSO + 16 calib trials,True,19.10278296470642,,0.4900193174500966,0.464873664420007,0.5152027718882637,0.4887953901033568,0.09034914561009484,0.5,0.4230769230769231,0.5384615384615384,0.3076923076923077,0.6551724137931034,58,1553,0.0
imagined,F LOSO +  0 calib,False,17.69555687904358,,0.6928025733815842,0.6742511463600354,0.7108989431350778,0.6924032685660593,0.14605536845106992,0.6785714285714286,0.5952380952380952,0.8095238095238095,0.3333333333333333,1.0,58,2487,0.6896551724137931
imagined,F LOSO +  4 calib,False,13.416645288467407,,0.6980044345898004,0.6785844670351056,0.71690861001639,0.6976370213234451,0.14808366447811153,0.6842105263157895,0.6052631578947368,0.8157894736842105,0.3170731707317073,1.0,58,2255,0.6551724137931034
