centre_s,name,pooled_acc,pooled_lo,pooled_hi,mean_sub_acc,sd_sub_acc,median,q25,q75,min,max,n_subjects,n_trials,frac_sig
-1.75,,0.5548854041013269,0.5350972815311547,0.5745441178875947,0.5554632705795497,0.08863128873670272,0.5714285714285714,0.5,0.6190476190476191,0.35555555555555557,0.7619047619047619,58,2487,0.15517241379310345
-1.55,,0.5303578608765581,0.5105162416937885,0.550127906315452,0.5304711683220104,0.07946803743055417,0.5333333333333333,0.47619047619047616,0.5714285714285714,0.36363636363636365,0.7380952380952381,58,2487,0.06896551724137931
-1.35,,0.5492561318858062,0.5294515034454781,0.5689446260698545,0.5491596570586146,0.06963640710211562,0.5476190476190477,0.5,0.5714285714285714,0.40476190476190477,0.7142857142857143,58,2487,0.1206896551724138
-1.1500000000000001,,0.517490952955368,0.49764030006061566,0.5373003686722323,0.5171951500339632,0.07370824539380436,0.5238095238095238,0.47619047619047616,0.5555555555555556,0.35714285714285715,0.7380952380952381,58,2487,0.05172413793103448
-0.9500000000000002,,0.5420184961801368,0.522196354615633,0.5617415698680785,0.5414868700754828,0.07531208921304712,0.5476190476190477,0.49166666666666664,0.5988095238095238,0.35714285714285715,0.6888888888888889,58,2487,0.1206896551724138
-0.7500000000000002,,0.5022114997989545,0.4823670353583607,0.5220507503850818,0.502564018001067,0.08378908046642353,0.5,0.4444444444444444,0.5476190476190477,0.3333333333333333,0.7380952380952381,58,2487,0.08620689655172414
-0.5500000000000003,,0.523924406915963,0.5040766402810503,0.5437157682764928,0.5239560804516699,0.07507379804900063,0.5111111111111111,0.47619047619047616,0.5714285714285714,0.38095238095238093,0.7380952380952381,58,2487,0.08620689655172414
-0.3500000000000003,,0.5468435866505831,0.5270326576363229,0.5665440703043025,0.5467534492594638,0.07388583917249235,0.5476190476190477,0.5,0.5952380952380952,0.37777777777777777,0.7380952380952381,58,2487,0.1724137931034483
-0.15000000000000036,,0.5460394049055086,0.5262264786354616,0.5657437820901261,0.5459494417192893,0.08321939877074501,0.5333333333333333,0.4888888888888889,0.5952380952380952,0.35714285714285715,0.7555555555555555,58,2487,0.13793103448275862
0.0499999999999996,,0.6831523924406916,0.6644586555658571,0.7014139007146156,0.6828706934160023,0.11157434636034287,0.6666666666666666,0.5952380952380952,0.7511904761904762,0.47619047619047616,0.9555555555555556,58,2487,0.6379310344827587
0.24999999999999956,,0.72778447929232,0.7098288820593677,0.7452021735586687,0.7274133823051223,0.10762535657649815,0.7380952380952381,0.6428571428571429,0.8,0.5238095238095238,0.9761904761904762,58,2487,0.7758620689655172
0.4499999999999995,,0.748291113791717,0.7307471794746937,0.765248497314813,0.7479284771185334,0.1067524308045949,0.7555555555555555,0.6666666666666666,0.819047619047619,0.5476190476190477,0.9761904761904762,58,2487,0.896551724137931
0.6499999999999995,,0.7201447527141134,0.7020479361662044,0.7377217728676617,0.7203747001461515,0.11762582371601706,0.7357142857142858,0.6273809523809524,0.8095238095238095,0.4888888888888889,0.9285714285714286,58,2487,0.7413793103448276
0.8499999999999994,,0.6984318455971049,0.6799677141275189,0.7164275984986378,0.6983005099685131,0.1313605228514807,0.6777777777777778,0.6190476190476191,0.8305555555555556,0.47619047619047616,0.9777777777777777,58,2487,0.6724137931034483
1.0499999999999994,,0.669481302774427,0.650601440137396,0.6879612619584916,0.6695267487569011,0.13696210325588093,0.6777777777777778,0.5714285714285714,0.7511904761904762,0.42857142857142855,0.9285714285714286,58,2487,0.5862068965517241
1.2499999999999993,,0.65902694008846,0.6400166639690787,0.6776620210159476,0.659218401219203,0.13958571274717163,0.6436507936507937,0.5380675526024363,0.7619047619047619,0.42857142857142855,1.0,58,2487,0.5172413793103449
1.4499999999999993,,0.6461600321672698,0.6270030451757387,0.6649722225641125,0.6462342522486869,0.12293088801847861,0.6444444444444445,0.5496031746031746,0.6904761904761905,0.38095238095238093,0.9555555555555556,58,2487,0.5517241379310345
1.6499999999999992,,0.638118214716526,0.6188771029818423,0.657033523135084,0.6380431650680248,0.11709567430273805,0.6206349206349207,0.5496031746031746,0.7134920634920635,0.40476190476190477,0.8809523809523809,58,2487,0.4827586206896552
